INCREMENTAL_FULL_LEAF_RESOURCE_POLICY_V1 composition_allocation_budget_bytes=17179869184 pcs_retained_byte_budget_bytes=25769803776 host_admission_limit_bytes=34359738368 process_cap_enforced=false
INCREMENTAL_FULL_LEAF_PREFLIGHT_V1 retained_lde_lower_bound_bytes=20550093056 source_column_bytes=10275046528 columns=16894 blowup_log=1 budget_bytes=25769803776 excludes=merkle,fri,quotient,twiddles,witness,allocator
INCREMENTAL_FULL_LEAF_TREE1_PREFLIGHT_V1 retained_bytes=17253064448 columns=8458 budget_bytes=25769803776 retention=never
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004304000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002033000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004153000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002080000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004387000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001998000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004024000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002000000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004007000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001983000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004139000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002071000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004103000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002002000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004105000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001889000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004086000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001897000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004134000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001946000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004086000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001988000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004068000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001962000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004072000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002024000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004147000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001971000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004044000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001930000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004042000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002193000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004128000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002002000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004022000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002248000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004079000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001956000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004056000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001983000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004066000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002037000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004167000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001984000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004063000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002139000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004157000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001947000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004043000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001928000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004049000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001934000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004059000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001955000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004040000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001953000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004050000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001993000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004033000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001970000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.003979000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.001979000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004066000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.002074000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.004044000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.003753000
